ACNEZIL 50MG/G BG 20G,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",4976/10,200,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
10G,MEDICAMENTOS LTDA,3935/10,200,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"ADAPEL GEL TOPICO 0,1% 10G (AG)","MEDLEY INDÚSTRIAFARMACEUTICA LTDA",11061597,36,41260,1647/2011,01/09/2011,Brasilandia-SP
"ADAPEL GEL TOPICO 0,1% 10G (AG)","SANOFI-AVENTIS COMERCIAL ELOGISTICA LTDA",11061597,36,41260,1649/2011,01/09/2011,"R MANUEL ANTONIOFONSECA, 3-BRASILANDIA -SP"
ADOLESS C/28 COMP,FARMOQUÍMICCA S/A,110305,96,38323,002853/11,01/08/2011,Campina Grande - PB
ADOLESS CX/ 28 AG,FARMACOQUÍMICA,110658,192,40786,1002011022173/11,16/12/2011,"VITÓRIA DA CONQUISTA -BA"
ADVIL 100CP,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",67821,12,18052,89368,14/02/2011,Governador Valadares - MG
ADVIL 20 Comp.,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",68414,24,18052,89368,14/02/2011,Governador Valadares - MG
ADVIL 200MG 100 COMP,"WYETH INDUSTRIAFARMACEUTICA LTDA",74864,24,25251,"5,82011E+11",29/11/2011,DECARGA - BA
ADVIL 200MG 100 COMP,WYETH IND. FARMACÊUTICA,74864,24,25251,582011000380,29/11/2011,"CONCEIÇÃO DO JACUIPE -BA"
ADVIL 200MG 20 COMP,"WYETH INDUSTRIAFARMACEUTICA LTDA",74866,48,25251,"5,82011E+11",29/11/2011,DECARGA - BA
ADVIL 200MG 20 COMP,WYETH IND. FARMACÊUTICA,74866,48,25251,582011000380,29/11/2011,"CONCEIÇÃO DO JACUIPE -BA"
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",WYETH INDÚSTRIA,,,,,,
ADVIL 20CP,FARMACÊUTICA LTDA,68414,24,18044,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
ADVIL 20CP,FARMACÊUTICA LTDA,68414,48,18055,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
ADVIL 400 8 CS,FARMACÊUTICA LTDA,103883,24,18044,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDUSTRIA,,,,,,
ADVIL 400MG 36 CAPS,,1026115,42,25251,"5,82011E+11",29/11/2011,DECARGA - BA
"",FARMACEUTICA LTDA,,,,,,
"",,,,,,,CONCEIÇÃO DO JACUIPE -
ADVIL 400MG 36 CAPS,WYETH IND. FARMACÊUTICA,1026115,42,25251,582011000380,29/11/2011,BA
"",WYETH INDUSTRIA,,,,,,
ADVIL 400MG 8 CAPS,,1036706,168,25251,"5,82011E+11",29/11/2011,DECARGA - BA
"",FARMACEUTICA LTDA,,,,,,
"",,,,,,,CONCEIÇÃO DO JACUIPE -
ADVIL 400MG 8 CAPS,WYETH IND. FARMACÊUTICA,1036706,168,25251,582011000380,29/11/2011,BA
"",WYETH INDÚSTRIA,,,,,,
ADVIL 400MG 8 Comp.,FARMACÊUTICA LTDA,72800,432,18140,89368,14/02/2011,Governador Valadares - MG
AGASTEN 120 ML XP,NOVARTIS BIOCIÊNCIAS S/A,Z0083,75,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
AGASTEN 120 ML XP,NOVARTIS BIOCIÊNCIAS S/A,Z0083,5,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"",HALEX ISTAR INDÚSTRIA,,,,,,
ÁGUA PARA INJEÇÃO  BP 1000 ML,FARMACÊUTICA,45559,500,3506,3000/2011,01/06/2011,Marginal Tietê - SP
AIRES 200MG GRAN 16ENV 5G,Eurofarma Laboratórios Ltda,213380,84,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
AIRES 600MG GRAN 16ENV 5G,Eurofarma Laboratórios Ltda,212267,84,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
ALDACTONE 100MG X 16 COMP,LABORATÓRIOS PFIZER LTDA.,A2461,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
ALDACTONE 25MG X 30 COMP,LABORATÓRIOS PFIZER LTDA.,A431 1,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
ALDAZIDA 50 MG X 30 COMP,LABORATÓRIOS PFIZER LTDA.,BI0035,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
ALENDIL CALCIO D FR/30 BL/4 CP,FARMOQUÍMICCA S/A,1100942,24,38323,002853/11,01/08/2011,Campina Grande - PB
ALENDIL CALCIO D FR/60 BL/4 CP,FARMOQUÍMICCA S/A,1101642,24,38323,002853/11,01/08/2011,Campina Grande - PB
"ALFAST 0,544 MG/ML - SOL INJ - 10",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 5 ML,FARMACÊUTICOS LTDA.,11020946,25 cxs,0443976,447/2011,03/05/2011,Registro - SP
ALGESTONA AC+ESTRADIOL EN INJ,,,,,,,
"",Eurofarma Laboratórios Ltda,,896,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
1ML,,213128A,,,,,
"",,,,"51652, 51879,",,,
"",,,,"51878, 51877,",,,
"",,,,"51993, 51997,",,,
"",,,,"51974, 51972,",,,
ALOPURINOL 300MG 30TAB BR,SANDOZ DO BRASIL IND. FARM.,CA2670,90,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
"",,,,"51652, 51879,",,,
"",,,,"51878, 51877,",,,
"",,,,"51993, 51997,",,,
"",,,,"51974, 51972,",,,
ALOPURINOL 300MG 30TAB BR,SANDOZ DO BRASIL IND. FARM.,CA2670,180,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
"",,,,"51652, 51879,",,,
"",,,,"51878, 51877,",,,
"",,,,"51993, 51997,",,,
"",,,,"51974, 51972,",,,
ALOPURINOL 300MG 30TAB BR,SANDOZ DO BRASIL IND. FARM.,CA2670,180,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
ALOPURINOL 300MG 30TAB BR,SANDOZ DO BRASIL IND. FARM.,CA2670,270,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
ALOPURINOL 300MG 30TAB BR,SANDOZ DO BRASIL IND. FARM.,CA2670,450,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"ALPRAZOLAM 0,50MG 20CPR (B1)",Eurofarma Laboratórios Ltda,205604,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
ALPRAZOLAM 1MG 20CPR (B1),Eurofarma Laboratórios Ltda,205257,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
ALTARGO 1% (10MG/G) X 5G OR,GLAXOSMITHKLINE BRASIL LTDA,C501684V,200,109745,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
ALTARGO 1% (10MG/G) X 5G OR,GLAXOSMITHKLINE BRASIL LTDA,C511842,6,113667,13217/2011,23/12/2011,PERUS SP
"AMBROXMEL AD 6 MGML CAPS 1 BLX 1","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",11C0293,6,159049,970929,30/08/2011,Carté-MG
"AMBROXMEL AD 6 MGML MGML XPEFR 10 ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103419,114,158922,970929,30/08/2011,Carté-MG
"AMBROXMEL AD 6 MGML XPEFR 120 ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103419,30,159036,970929,30/08/2011,Carté-MG
"AMBROXMEL AD 6 MGML XPEFR 120 ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103419,20,159036,970929,30/08/2011,Carté-MG
AMBROXMEL AD. 6MG/ML FR 120 ML,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",11B0321,90,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"AMBROXMEL PED 3 MGML XPE FR120 ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103012,120,159049,970929,30/08/2011,Carté-MG
"AMBROXMEL PED 3 MGML XPE FR120 ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103012,30,158922,970929,30/08/2011,Carté-MG
"AMBROXMEL PED 3 MGMLXPE FR 120 ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103012,20,159036,970929,30/08/2011,Carté-MG
"AMBROXMEL PED. 3MG/ML FR 120ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",11B0391,90,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"AMIDALIN CEREJA 5+1. 035MG20LOZ BR",SANDOZ DO BRASIL IND. FARM.,BT5238,20,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"AMIDALIN CEREJA 5+1. 035MG20LOZ BR",SANDOZ DO BRASIL IND. FARM.,BT5238,30,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"AMIDALIN CEREJA 5+1. 035MG20LOZ BR",SANDOZ DO BRASIL IND. FARM.,BT5238,30,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
"AMIDALIN LARANJA 5+1. 035MG20LOZ BR",SANDOZ DO BRASIL IND. FARM.,BU0764,500,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"AMIDALIN LARANJA 5+1. 035MG20LOZ BR",SANDOZ DO BRASIL IND. FARM.,BU3373,50,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"AMIDALIN MEL LIMAO 5+1. 035MG20LOZ BR",SANDOZ DO BRASIL IND. FARM.,BU8452,560,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"AMIDALIN MEL LIMAO 5+1. 035MG20LOZ BR",SANDOZ DO BRASIL IND. FARM.,BU8452,20,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"AMIDALIN MEL LIMAO 5+1. 035MG20LOZ BR",SANDOZ DO BRASIL IND. FARM.,BU8452,40,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"AMIDALIN MENTA 5+1. 035MG 20LOZBR",SANDOZ DO BRASIL IND. FARM.,BV8778,480,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"AMIDALIN MENTA 5+1. 035MG 20LOZBR",SANDOZ DO BRASIL IND. FARM.,BV8778,40,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"AMIDALIN MENTA 5+1. 035MG 20LOZBR",SANDOZ DO BRASIL IND. FARM.,BV8778,100,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
AMOSTRA ANDROSTEN,"HERBARIUM LABORATÓRIOBOTÂNICO",179651,320,19117-1,"5,82011E+11",22/07/2011,"BR 116 PROXIMO A CIDADEDE VITORIA DA CONQUISTABA"
AMOSTRA ANDROSTREN,"HERBARIUM LABORATÓRIOBOTÂNICO",179651,320,19117-1,582011000246,22/07/2011,Vitória da Conquista-BA
AMOSTRA CLIFEMIM 160MG,"HERBARIUM LABORATÓRIOBOTÂNICO",457861,80,19117-1,"5,82011E+11",22/07/2011,"BR 116 PROXIMO A CIDADEDE VITORIA DA CONQUISTABA"
AMOSTRA CLIFEMIN 160 MG,"HERBARIUM LABORATÓRIOBOTÂNICO",457861,80,19117-1,582011000246,22/07/2011,Vitória da Conquista-BA
"",,,Quantidade Roubada/,,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",,,,,,,,BR 116 PROXIMO A CIDADE
"",HERBARIUM LABORATÓRIO,,,,,,,DE VITORIA DA CONQUISTA-
AMOSTRA GAMALINE 8 CAPS,BOTÂNICO,301251,360,,19117-1,"5,82011E+11",22/07/2011,BA
"",HERBARIUM LABORATÓRIO,,,,,,,
AMOSTRA GAMALINE 8 CÁPS,BOTÂNICO,301251,360,,19117-1,582011000246,22/07/2011,Vitória da Conquista-BA
"",HERBARIUM LABORATÓRIO,,,,,,,
AMOSTRA ISOFLAVINE 150 MG,BOTÂNICO,179451,83,,19117-1,582011000246,22/07/2011,Vitória da Conquista-BA
"",,,,,,,,BR 116 PROXIMO A CIDADE
"",HERBARIUM LABORATÓRIO,,,,,,,DE VITORIA DA CONQUISTA-
AMOSTRA ISOFLAVINE 150MG,BOTÂNICO,179451,83,,19117-1,"5,82011E+11",22/07/2011,BA
"",HERBARIUM LABORATÓRIO,,,,,,,
AMOSTRA OMEGA MATER,BOTÂNICO,182351,216,,19117-1,582011000246,22/07/2011,Vitória da Conquista-BA
"",,,,,,,,BR 116 PROXIMO A CIDADE
"",HERBARIUM LABORATÓRIO,,,,,,,DE VITORIA DA CONQUISTA-
AMOSTRA OMEGA MATER,BOTÂNICO,182351,216,,19117-1,"5,82011E+11",22/07/2011,BA
"",,,,,"51652, 51879,",,,
"",,,,,"51878, 51877,",,,
"",,,,,"51993, 51997,",,,
AMOX+CLAV 875+125MG 20FCT BO,,,,,"51974, 51972,",,,
BR,SANDOZ DO BRASIL IND. FARM.,BU8045,80,,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
"",CIMED INDÚSTRIA DE,,,,,,,
AMOXICILINA 500 mg 1 BL X 20 cáps.,MEDICAMENTOS LTDA,11A0307,1,,3964,555/2011,23/02/2011,São Paulo - SP
"",CIMED INDÚSTRIA DE,,,,,,,
AMOXICILINA 500mg/5ml FR 150ml,MEDICAMENTOS LTDA,3597/09,1,,3964,555/2011,23/02/2011,São Paulo - SP
"AMPICILINA SODICA 1G ""G"" CART C/",AGILA MARKETING E DISTRIB. DE,,,,,,,
"",,Z311008,30,,5184,13614603,04/11/2011,CARIACICA - ES
50FA,PROD. HOSP. LTDA,,,,,,,
"AMPICILINA SODICA 1G ""G"" CART C/",AGILA MARKETING E DISTRIB. DE,,,,,,,
"",,Z311008,60,,5193,13614603,04/11/2011,CARIACICA - ES
50FA,PROD. HOSP. LTDA,,,,,,,
"AMPICILINA SODICA 1G ""G"" CART C/",AGILA MARKETING E DISTRIB. DE,,,,,,,
"",,Z311008,30,,5230,13614603,04/11/2011,CARIACICA - ES
50FA,PROD. HOSP. LTDA,,,,,,,
AMYTRIL 10MG,CRISTÁLIA PROD. QUIM. FARMAC,11031878,120,,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
AMYTRIL 25 MG COM REV. 20 BL X,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,,
10,FARMACÊUTICOS LTDA.,09107668,1 cx,,0443223,447/2011,03/05/2011,Registro - SP
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,,
AMYTRIL 25 MG COM REV. 2BL X 10,FARMACÊUTICOS LTDA.,10129068,680 cxs,,0443729,447/2011,03/05/2011,Registro - SP
AMYTRIL 25MG,CRISTÁLIA PROD. QUIM. FARMAC,10129067,90,,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
"",HERBARIUM LABORATÓRIO,,,,,,,
ANDROSTEN 30 COMP,"BOTÂNICO LTDA,",45271,8,,71187,987681,03/10/2011,CAJATI - SP
"",MEDLEY INDÚSTRIA,,,,,,,
ANGIO II 160MG C/15 (AG),FARMACEUTICA LTDA,116710,,48,41251,1647/2011,01/09/2011,Brasilandia-SP
"",,,,,,,,R MANUEL ANTONIO
"",SANOFI-AVENTIS COMERCIAL E,,,,,,,"FONSECA, 3-BRASILANDIA -"
ANGIO II 160MG C/15 (AG),LOGISTICA LTDA,116710,48,,41251,1649/2011,01/09/2011,SP
ANNITA 20 MG/1 ML SUSP 100 ML,FARMOQUÍMICCA S/A,110376,40,,38340,002853/11,01/08/2011,Campina Grande - PB
ANNITA 20 MG/1 ML SUSP 45 ML,FARMOQUÍMICCA S/A,110302,45,,38340,002853/11,01/08/2011,Campina Grande - PB
ANNITA 500MG 6 COMP OR,FARMOQUÍMICCA S/A,110299,288,,38339,002853/11,01/08/2011,Campina Grande - PB
"",CIMED INDÚSTRIA DE,,,,,,,
APMED XPE FR 240 ML,MEDICAMENTOS LTDA,1103246,36,,159049,970929,30/08/2011,Carté-MG
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",CIMED INDÚSTRIA DE,,,,,,
APMED XPE FR 240 ML,MEDICAMENTOS LTDA,1103246,6,158922,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
APMED XPE FR 240 ML,MEDICAMENTOS LTDA,1103246,30,158942,970929,30/08/2011,Carté-MG
"",,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,"Passos, 437,"
"",,163434,4,,2011-1380465,21/10/2011,
"",Ltda,,,,,,Petrolândia –
APMED XPE. FR. 240 ML,,,,,,,Contagem/MG
"",LABORATORIOS SERVIER DO,,,,,,
ARCALION,BRASIL LTDA,3000284,120,18293,6490/2010,08/11/2010,São Paulo - SP
ARCHITECT REACTION VESSELS,,,,,,,
RV,ABOTT LAB. DO BRASIL LTDA.,110729100,10,87987,13217/2011,22/12/2011,SÃO PAULO - SP
ARCHITECT SOLUÇÃO,,,,,,,
PRETRIGGER,ABOTT LAB. DO BRASIL LTDA.,09489LF00,2,87986,13217/2011,22/12/2011,SÃO PAULO - SP
ARCHITECT SOLUÇÃO TRIGGER,ABOTT LAB. DO BRASIL LTDA.,08384LF00,2,87987,13217/2011,22/12/2011,SÃO PAULO - SP
ARCHITECT TAPÃO DE LAVAGEM,,,,,,,
CONCENTRADO,ABOTT LAB. DO BRASIL LTDA.,08476LF00,30,87987,13217/2011,22/12/2011,SÃO PAULO - SP
"",HERBARIUM LABORATÓRIO,,,,,,
ARNICA GEL 30G,"BOTÂNICO LTDA,",170971,6,71187,987681,03/10/2011,CAJATI - SP
"",HERBARIUM LABORATÓRIO,,,,,,
ARNICA GEL 30G,"BOTÂNICO LTDA,",170971,10,71188,987681,03/10/2011,CAJATI - SP
"",,,,"51652, 51879,",,,
"",,,,"51878, 51877,",,,
"",,,,"51993, 51997,",,,
"",,,,"51974, 51972,",,,
AROTIN 20MG 30FCT BR,SANDOZ DO BRASIL IND. FARM.,BX9846,80,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
ASTRO  500MG  3CPR,Eurofarma Laboratórios Ltda,190869,300,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
ASTRO  500MG  5CPR,Eurofarma Laboratórios Ltda,208307,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
ASTRO  500MG 60CPR,Eurofarma Laboratórios Ltda,185548,33,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
ASTRO  600MG SUS,Eurofarma Laboratórios Ltda,208700B,128,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
ASTRO  900MG SUS,Eurofarma Laboratórios Ltda,210557B,64,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",MULTILAB IND E COM DE,,,,,,
"",PRODUTOS FARMACÊUTICOS,,,,,,
ATENOLAB 50MG,LTDA,KA0266,60,26847,2011-000719028-001,26/04/2011,
"",MULTILAB IND E COM DE,,,,,,
"",PRODUTOS FARMACÊUTICOS,,,,,,
ATENOLAB 50MG,LTDA,KA0266,60,26847,2011-000719028-001,14/04/2011,Contagem - MG
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
ATENOLOL 25 MG COM. 3 BL X 10,FARMACÊUTICOS LTDA.,10107591,680 cxs,0443728,447/2011,03/05/2011,Registro - SP
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
ATENOLOL 50 MG COM. 3 BL X 10,FARMACÊUTICOS LTDA.,10107592,150 cxs,0443728,447/2011,03/05/2011,Registro - SP
"",,,,,,,Itinerário entre a Distribuidora
"",,RJ0355,33,3208,Declaração de Sinistro,,
AURORIX 300MG 30 CLAQ,,,,,,,Profarma - Recife ao site de
(MOCLOBEMIDA),PRODUTOS ROCHE,,,,,24/08/2011,Distribuição Roche - GO
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
AXEPEN 500MG CX C/ 200CAPS,"AGILA MARKETING E DISTRIB. DEPROD. HOSP. LTDA",Y411004,72,5155,13614603,04/11/2011,CARIACICA - ES
AZITROMICINA 500MG 60CPR,Eurofarma Laboratórios Ltda,215188,66,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
B.BLOCK COLÍRIO 5ml,"LATINOFARMA INDÚSTRIASFARMACÊUTICAS LTDA",10293,12,75915,89368,14/02/2011,Governador Valadares - MG
BABYMED AZUL POM BG 45 G,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103797,3,159036,970929,30/08/2011,Carté-MG
BABYMED AZUL POM. BG 45 G,"CIMED Indústria de MedicamentosLtda",163434,24,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
BABYMED AZUL POM. BG 45G,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",11B0193,120,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
BABYMED MENINA POM. BG 45G,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",11B0471,120,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"BACTRIM 20 COMP SMALL -SIZE(SULFAMETOXAZOL +TRIMETOPRIMA)","PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0474,112,86251,"941637 ComunicaçãoC1057529",16/07/2011,RESSAQUINHA - MG
BACTRIM F 10 COMP,"PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0755,1,74400,1250-01362/2011,10/03/2011,Fortaleza - CE
"BACTRIM F 10 COMP(SULFAMETOXAZOL +TRIMETOPRIMA)","PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0792,342,86251,"941637 ComunicaçãoC1057529",16/07/2011,RESSAQUINHA - MG
BACTRIM F SUSP 100ML,"PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0415,48,74400,1250-01362/2011,10/03/2011,Fortaleza - CE
"BACTRIM F SUSP 100ML(SULFAMETOXAZOL +TRIMETOPRIMA)",PRODUTOS ROCHE QUÍMICOS E,RJ0419,96,86251,"941637 ComunicaçãoC1057529",,
"",FARMACÊUTICOS S.A,16/07/2011,RESSAQUINHA - MG,,,,
"BACTRIM F SUSP 100ML(SULFAMETOXAZOL +TRIMETOPRIMA)",PRODUTOS ROCHE,RJ0406,2,54888,Declaração de Sinistro,05/10/2011,"Itinerário entre aTransportadora RapidãoCometa - Recife - PE ao sitede Distribuição Roche - GO"
BACTRIM F10 COMP,"PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0761,460,78725,5994/2011,05/05/2011,Aparecida de Goiânia-GO
BACTRIM SUSP PED 100 ML,"PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0598,48,74383,5997/2011,04/03/2011,Aparecida de Goiânia-GO
BACTRIM SUSP PED 100ML,"PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0598,1,74400,1250-01362/2011,10/03/2011,Fortaleza - CE
BACTRIM SUSP PED 100ML,"PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0595,5,70104,5996/2011,11/02/2011,Aparecida de Goiânia-GO
"BACTRIM SUSP PED 100ML(SULFAMETOXAZOL +TRIMETOPRIMA)","PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0608,194,86251,"941637 ComunicaçãoC1057529",16/07/2011,RESSAQUINHA - MG
"BACTRIM SUSP PED 100ML(SULFAMETOXAZOL +TRIMETOPRIMA)",PRODUTOS ROCHE,RJ0580,2,54888,Declaração de Sinistro,05/10/2011,"Itinerário entre aTransportadora RapidãoCometa - Recife - PE ao sitede Distribuição Roche - GO"
"BAMIFIX  600 MG - CX C/ 20DRAGEAS",CHIESI FARMACÊUTICA LTDA,111400A,48,78372,02898/1918/2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"",,,Quantidade Roubada/,,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
BAMIFIX 300 CX C/ 20,Chiesi Farmacêutica Ltda,111389 A,144,,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
