"",Produto*,Empresa*,No Lote*,"*QuantidadeRoubada/Furtada/Extraviada",*No Nota Fiscal*,*No Boletim de Ocorrência*,"*Data do roubo ouextravio",*Local do roubo ou extravio
1,20 BI 1 CAP AG MO,Danisco,425829,01 cartucho,"5999459917",0401012907160207,28/7/2016,"BR 381, KM 405.0, Bom Jesus doAmparo, MG"
2,A A S SEM,CIA LATINO AMERICANA,804815,8,581965,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
3,AAS EMES,CIA LATINO AMERICANA,804815,3,581962,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
4,AAS EMES,CIA LATINO AMERICANA,799290,1,581963,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
5,AAS EMES,CIA LATINO AMERICANA,804815,1,581963,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
6,AAS EMES,CIA LATINO AMERICANA,799290,1,581964,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
7,AAS EMES,CIA LATINO AMERICANA,804815,3,581964,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
8,AAS EMES,CIA LATINO AMERICANA,804815,3,581966,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
9,AAS EMES,CIA LATINO AMERICANA,804815,11,581967,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
10,AAS EMES,CIA LATINO AMERICANA,804815,6,581968,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
11,AAS EMES,CIA LATINO AMERICANA,804815,1,581971,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
12,AAS EMES,CIA LATINO AMERICANA,7992990,1,581969,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
13,AAS EMES,CIA LATINO AMERICANA,804815,4,581969,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
14,AAS INFANTIL 100MG CPR 1X120 V,SANOFI,"6,39E+05",96,128180-1,6169/2016,19/11/2016,SÃO PAULO-SP
15,AAS INFANTIL 100MG CPR 1X120 V,SANOFI,"6,39E+05",96,128153-1,6169/2016,19/11/2016,SÃO PAULO-SP
16,AAS INFANTIL 100MG CPR 1X120 V,SANOFI,"6,39E+05",288,128155-1,6169/2016,19/11/2016,SÃO PAULO-SP
17,AAS INFANTIL 100MG CPR 20X10 V,SANOFI,"6,39E+05",112,128180-1,6169/2016,19/11/2016,SÃO PAULO-SP
18,AAS INFANTIL 100MG CPR 20X10 V,SANOFI,"6,39E+05",112,128155-1,6169/2016,19/11/2016,SÃO PAULO-SP
19,AAS INFANTIL 100MG CPR 2X15 V,SANOFI,650277,96,128159-1,6169/2016,19/11/2016,SÃO PAULO-SP
20,AAS INFANTIL 100MG CPR 2X15 V,SANOFI,650277,768,128180-1,6169/2016,19/11/2016,SÃO PAULO-SP
21,AAS INFANTIL 100MG CPR 2X15 V,SANOFI,650277,1.440,128155-1,6169/2016,19/11/2016,SÃO PAULO-SP
22,AAS PROTECT 100MG X 30 CPR,SANOFI,"6,55E+05",392,128159-1,6169/2016,19/11/2016,SÃO PAULO-SP
23,AAS PROTECT 100MG X 30 CPR,SANOFI,"6,55E+05",1.680,128145-1,6169/2016,19/11/2016,SÃO PAULO-SP
24,AAS PROTECT 100MG X 30 CPR,SANOFI,"6,55E+05",896,128145-1,6169/2016,19/11/2016,SÃO PAULO-SP
25,AAS PROTECT 100MG X 30 CPR,SANOFI,"6,55E+05",56,128180-1,6169/2016,19/11/2016,SÃO PAULO-SP
26,AAS PROTECT 100MG X 30 CPR,SANOFI,"6,55E+05",560,128180-1,6169/2016,19/11/2016,SÃO PAULO-SP
27,AAS PROTECT 100MG X 30 CPR,SANOFI,"6,55E+05",336,128153-1,6169/2016,19/11/2016,SÃO PAULO-SP
28,AAS PROTECT 100MG X 30 CPR,SANOFI,"6,55E+05",2.240,128155-1,6169/2016,19/11/2016,SÃO PAULO-SP
29,AAS PROTECT 100MG X 30 CPR,SANOFI,"6,55E+05",448,128155-1,6169/2016,19/11/2016,SÃO PAULO-SP
30,ABC,KLEY HERTZ,87406,6,23742,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
31,ABC,KLEY HERTZ,88332,6,23713,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
32,ABC,KLEY HERTZ,88332,2,23678,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
33,ABC,KLEY HERTZ,87406,6,23637,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
34,ABC,KLEY HERTZ,88332,6,23637,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
35,ABC,KLEY HERTZ,87406,6,23686,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
36,ABC,KLEY HERTZ,88332,2,23703,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
37,ABC,KLEY HERTZ,88332,6,23697,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
38,ABC,CIA LATINO AMERICANA,87405,1,581962,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
"",Produto*,Empresa*,No Lote*,"*QuantidadeRoubada/Furtada/Extraviada",*No Nota Fiscal*,*No Boletim de Ocorrência*,"*Data do roubo ouextravio",*Local do roubo ou extravio
39,ABC,"KLEY HERTZ FARMACÊUTICAS/A",87410,6,57258,"BO no xxxxREDS 2016-001603880-001",21/1/2016,"SÃO JOSÉ DA LAGOA - MINASGERAIS"
40,ABC,"KLEY HERTZ FARMACÊUTICAS/A",87410,4,57355,"BO no xxxxREDS 2016-001603880-001",21/1/2016,"SÃO JOSÉ DA LAGOA - MINASGERAIS"
41,ABC,"KLEY HERTZ FARMACÊUTICAS/A",86131,6,57258,"BO no xxxxREDS 2016-001603880-001",21/1/2016,"SÃO JOSÉ DA LAGOA - MINASGERAIS"
42,ABC,"KLEY HERTZ FARMACÊUTICAS/A",86131,6,57339,"BO no xxxxREDS 2016-001603880-001",21/1/2016,"SÃO JOSÉ DA LAGOA - MINASGERAIS"
43,ABC,"KLEY HERTZ FARMACÊUTICAS/A",86131,3,57341,"BO no xxxxREDS 2016-001603880-001",21/1/2016,"SÃO JOSÉ DA LAGOA - MINASGERAIS"
44,ABC,"KLEY HERTZ FARMACÊUTICAS/A",86131,6,57355,"BO no xxxxREDS 2016-001603880-001",21/1/2016,"SÃO JOSÉ DA LAGOA - MINASGERAIS"
45,ABC,"KLEY HERTZ FARMACÊUTICAS/A",86131,24,57365,"BO no xxxxREDS 2016-001603880-001",21/1/2016,"SÃO JOSÉ DA LAGOA - MINASGERAIS"
46,ABELCET 100 MG 20ML,Profarma Specialty S.A,5057A,70cx,235622,2016/604426,2/6/2016,São José dos Pinhais -PR
47,ABLOK,CIA LATINO AMERICANA,1001869,1,581965,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
48,ABLOK,CIA LATINO AMERICANA,1001869,1,581966,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
49,ABRILAR,FARMOQUÍMICA S/A,161495,245,27190,918-01211/2016-01,24/11/2016,RIO DE JANEIRO- RJ
50,AC. MEFANICO MEDLEY,CIA LATINO AMERICANA,15100838,1,581962,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
51,AC. MEFANICO MEDLEY,CIA LATINO AMERICANA,15100372,2,581962,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
52,AC. MEFANIICO EMES,CIA LATINO AMERICANA,807269,2,581968,2016/58631,15/1/2016,BR 277 PALMEIRA-PR
