138 105.005 - CONEXAO TORQUE 1.2,MATERIAIS DENTÁRIOS,800065789,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
"",S.A.,,,,,
Rio de Janeiro - 139 105.005 CONEXAO TORQUE 1.2,JJGC Ind. E Com. de,800127816,1 1085437,2015/417947,10/02/15,
"",Materiais Dentários S.A.,,,,,RJ
"",JJGC IND. E COM. DE,,,,,
140 105.006 - CONEXAO TORQUE 1.6,MATERIAIS DENTÁRIOS,800066344,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
"",S.A.,,,,,
Rio de Janeiro - 141 105.006 CONEXAO TORQUE 1.6,JJGC Ind. E Com. de,800127831,1 1085437,2015/417947,10/02/15,
"",Materiais Dentários S.A.,,,,,RJ
"",JJGC IND. E COM. DE,,,,,
142 105.007 - CONEXAO TORQUE FENDA,MATERIAIS DENTÁRIOS,800062378,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
"",S.A.,,,,,
"",,,Quantidade,,Data do,
"",,No de Série/,No Nota,No Boletim de,,Local do roubo
Produto*,Empresa*,,Roubada/,,roubo ou,
"",,Lote*,Fiscal*,Ocorrência*,,ou extravio*
"",,,Extraviada*,,extravio*,
Rio de Janeiro - 143 105.007 CONEXAO TORQUE FENDA,JJGC Ind. E Com. de,800106701,1 1085437,2015/417947,10/02/15,
"",Materiais Dentários S.A.,,,,,RJ
"",JJGC IND. E COM. DE,,,,,
144 105.008 - CONEXAO TORQUE QUADRADA,MATERIAIS DENTÁRIOS,800059830,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
"",S.A.,,,,,
Rio de Janeiro - 145 105.008 CONEXAO TORQUE QUADRADA,JJGC Ind. E Com. de,800131289,1 1085437,2015/417947,10/02/15,
"",Materiais Dentários S.A.,,,,,RJ
"",JJGC IND. E COM. DE,,,,,
105.009 - CONEXAO PARA PILARES,,,,,,
146,MATERIAIS DENTÁRIOS,800068799,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
PROTETICOS,,,,,,
"",S.A.,,,,,
Rio de Janeiro - 147 105.009 CONEXAO PARA PILARES,JJGC Ind. E Com. de,800149232,1 1085437,2015/417947,10/02/15,
PROTETICOS,Materiais Dentários S.A.,,,,,RJ
"",JJGC IND. E COM. DE,,,,,
105.018 - CONEXAO SEXTAVADA LONGA,,,,,,
148,MATERIAIS DENTÁRIOS,800059800,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
PARA CATRACA,,,,,,
"",S.A.,,,,,
105.018 CONEXAO SEXTAVADA LONGA,JJGC Ind. E Com. de,,,,,
149,,800127893,1 0033156,2015/371262,28/11/2014,Londrina - PR
PARA CATRACA,Materiais Dentários S.A.,,,,,
Belo Horizonte - 150 105.018 CONEXAO SEXTAVADA LONGA,JJGC Ind. E Com. de,800136879,1 0105816,2015/417947,05/02/15,
PARA CATRACA,Materiais Dentários S.A.,,,,,MG
"",JJGC IND. E COM. DE,,,,,
105.023 - CONEXAO PHILIPS PARA CONTRA-,,,,,,
151,MATERIAIS DENTÁRIOS,800062339,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
ÂNGULO,,,,,,
"",S.A.,,,,,
JJGC Ind. E Com. de 152 105.023 CONEXÃO PHILIPS PARA CONTRA-,,800131352,1 0051842,2015/417947,17/03/15,São Paulo - SP
ÂNGULO,Materiais Dentários S.A.,,,,,
"",JJGC IND. E COM. DE,,,,,
105.025 - ADAPTADOR PARA CATRACA DE,,,,,,
153,MATERIAIS DENTÁRIOS,800083642,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
CONEXOES PARA CONTRA-ÂNGULO,,,,,,
"",S.A.,,,,,
JJGC Ind. E Com. de 154 105.025 ADAPTADOR PARA CATRACA DE,,800161673,1 0051842,2015/417947,17/03/15,São Paulo - SP
CONEXÕES PARA CONTRA-ÂNGULO,Materiais Dentários S.A.,,,,,
"",JJGC IND. E COM. DE,,,,,
105.030 - CONEXAO CURTA PARA CATRACA,,,,,,
155,MATERIAIS DENTÁRIOS,800059823,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
II PLUS,,,,,,
"",S.A.,,,,,
105.030 CONEXAO CURTA PARA CATRACA II,JJGC Ind. E Com. de,,,,,
156,,800131343,1 0033156,2015/371262,28/11/2014,Londrina - PR
PLUS,Materiais Dentários S.A.,,,,,
"",,,Quantidade,,Data do,
"",,No de Série/,No Nota,No Boletim de,,Local do roubo
Produto*,Empresa*,,Roubada/,,roubo ou,
"",,Lote*,Fiscal*,Ocorrência*,,ou extravio*
"",,,Extraviada*,,extravio*,
Belo Horizonte - 157 105.030 CONEXAO CURTA PARA CATRACA,JJGC Ind. E Com. de,800145694,1 0105816,2015/417947,05/02/15,
II PLUS,Materiais Dentários S.A.,,,,,MG
"",JJGC IND. E COM. DE,,,,,
105.031 - CONEXAO LONGA PARA CATRACA,,,,,,
158,MATERIAIS DENTÁRIOS,800062337,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
II PLUS,,,,,,
"",S.A.,,,,,
Belo Horizonte - 159 105.031 CONEXAO LONGA PARA CATRACA  JJGC Ind. E Com. de,,800145703,1 0105816,2015/417947,05/02/15,
II PLUS,Materiais Dentários S.A.,,,,,MG
105.031 CONEXAO LONGA PARA CATRACA II,JJGC Ind. E Com. de,,,,,
160,,800121756,1 0033156,2015/371262,28/11/2014,Londrina - PR
PLUS,Materiais Dentários S.A.,,,,,
"",JJGC IND. E COM. DE,,,,,
105.039 - CONEXAO LONGA PARA CONTRA-,,,,,,
161,MATERIAIS DENTÁRIOS,0039079,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
ÂNGULO PARA ANCORAGEM,,,,,,
"",S.A.,,,,,
JJGC Ind. E Com. de 162 105.039 CONEXÃO LONGA PARA CONTRA-,,800108698,1 0051842,2015/417947,17/03/15,São Paulo - SP
ÂNGULO PARA ANCORAGEM,Materiais Dentários S.A.,,,,,
"",JJGC IND. E COM. DE,,,,,
105.040 - CONEXAO CURTA PARA CONTRA-,,,,,,
163,MATERIAIS DENTÁRIOS,2865907,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
ÂNGULO PARA ANCORAGEM,,,,,,
"",S.A.,,,,,
JJGC Ind. E Com. de 164 105.040 CONEXÃO CURTA PARA CONTRA-,,800145715,1 0051842,2015/417947,17/03/15,São Paulo - SP
ÂNGULO PARA ANCORAGEM,Materiais Dentários S.A.,,,,,
"",JJGC IND. E COM. DE,,,,,
165 105.041 - CONEXAO TORQUE 1.2 CURTA,MATERIAIS DENTÁRIOS,800062374,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
"",S.A.,,,,,
Rio de Janeiro - 166 105.041 CONEXAO TORQUE 1.2 CURTA,JJGC Ind. E Com. de,800136652,1 1085437,2015/417947,10/02/15,
"",Materiais Dentários S.A.,,,,,RJ
"",JJGC IND. E COM. DE,,,,,
105.044 - CONEXAO PARA PILARES,,,,,,
167,MATERIAIS DENTÁRIOS,800054872,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
PROTETICOS CURTA,,,,,,
"",S.A.,,,,,
Rio de Janeiro - 168 105.044 CONEXAO PARA PILARES,JJGC Ind. E Com. de,800136950,1 1085437,2015/417947,10/02/15,
PROTETICOS CURTA,Materiais Dentários S.A.,,,,,RJ
105.045 CONEXAO Ti CURTA PARA CATRACA JJGC Ind. E Com. de,,,,,,
169,,800145423,1 0033156,2015/371262,28/11/2014,Londrina - PR
4.1 E 4.3,Materiais Dentários S.A.,,,,,
"",JJGC IND. E COM. DE,,,,,
105.045- CONEXAO TI CURTA PARA,,,,,,
170,MATERIAIS DENTÁRIOS,800059667,2 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
CATRACA 4.1 E 4.3,,,,,,
"",S.A.,,,,,
"",,,Quantidade,,Data do,
"",,No de Série/,No Nota,No Boletim de,,Local do roubo
Produto*,Empresa*,,Roubada/,,roubo ou,
"",,Lote*,Fiscal*,Ocorrência*,,ou extravio*
"",,,Extraviada*,,extravio*,
Belo Horizonte - 171 105.045 CONEXAO Ti CURTA PARA,JJGC Ind. E Com. de,800145420,1 0105816,2015/417947,05/02/15,
CATRACA 4.1 E 4.3,Materiais Dentários S.A.,,,,,MG
"",JJGC IND. E COM. DE,,,,,
105.046 - CONEXAO TI LONGA PARA,,,,,,
172,MATERIAIS DENTÁRIOS,800064564,2 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
CATRACA 4.1 E 4.3,,,,,,
"",S.A.,,,,,
Belo Horizonte - 173 105.046 CONEXAO Ti LONGA PARA,JJGC Ind. E Com. de,800114647,1 0105816,2015/417947,05/02/15,
CATRACA 4.1 E 4.,Materiais Dentários S.A.,,,,,MG
105.046 CONEXAO Ti LONGA PARA CATRACA JJGC Ind. E Com. de,,,,,,
174,,800114647,1 0033156,2015/371262,28/11/2014,Londrina - PR
4.1 E 4.3,Materiais Dentários S.A.,,,,,
"",JJGC IND. E COM. DE,,,,,
105.047 - CONEXAO TI PARA CONTRA-,,,,,,
175,MATERIAIS DENTÁRIOS,800059670,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
ÂNGULO 4.1 E 4.3,,,,,,
"",S.A.,,,,,
"",JJGC IND. E COM. DE,,,,,
105.047 - CONEXAO TI PARA CONTRA-,,,,,,
176,MATERIAIS DENTÁRIOS,800064868,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
ÂNGULO 4.1 E 4.3,,,,,,
"",S.A.,,,,,
105.047 CONEXAO Ti PARA CONTRA-,JJGC Ind. E Com. de,,,,,
177,,800108708,1 0033156,2015/371262,28/11/2014,Londrina - PR
ANGULO 4.1 E 4.3,Materiais Dentários S.A.,,,,,
Belo Horizonte - 178 105.047 CONEXAO Ti PARA CONTRA-,JJGC Ind. E Com. de,800145427,1 0105816,2015/417947,05/02/15,
ANGULO 4.1 E 4.3,Materiais Dentários S.A.,,,,,MG
"",JJGC IND. E COM. DE,,,,,
105.048 - CONEXAO TI CURTA PARA,,,,,,
179,MATERIAIS DENTÁRIOS,800059683,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
CATRACA 5.0,,,,,,
"",S.A.,,,,,
105.048 CONEXAO Ti CURTA PARA CATRACA JJGC Ind. E Com. de,,,,,,
180,,800092763,1 0033156,2015/371262,28/11/2014,Londrina - PR
5.0,Materiais Dentários S.A.,,,,,
Belo Horizonte - 181 105.048 CONEXAO Ti CURTA PARA,JJGC Ind. E Com. de,800150903,1 0105816,2015/417947,05/02/15,
CATRACA 5.0,Materiais Dentários S.A.,,,,,MG
"",JJGC IND. E COM. DE,,,,,
105.049 - CONEXAO TI LONGA PARA,,,,,,
182,MATERIAIS DENTÁRIOS,800064929,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
CATRACA 5.0,,,,,,
"",S.A.,,,,,
105.049 CONEXAO Ti LONGA PARA CATRACA JJGC Ind. E Com. de,,,,,,
183,,800145412,1 0033156,2015/371262,28/11/2014,Londrina - PR
5.0,Materiais Dentários S.A.,,,,,
Belo Horizonte - 184 105.049 CONEXAO Ti LONGA PARA,JJGC Ind. E Com. de,800145416,1 0105816,2015/417947,05/02/15,
CATRACA 5.0,Materiais Dentários S.A.,,,,,MG
"",JJGC IND. E COM. DE,,,,,
105.050 - CONEXAO TI PARA CONTRA-,,,,,,
185,MATERIAIS DENTÁRIOS,800062820,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
ÂNGULO 5.0,,,,,,
"",S.A.,,,,,
"",Produto*,Empresa*,"No de Série/Lote*","QuantidadeRoubada/Extraviada*","No NotaFiscal*","No Boletim deOcorrência*","Data doroubo ouextravio*","Local do rouboou extravio*"
186,"105.050 CONEXAO Ti PARA CONTRA-ANGULO 5.0","JJGC Ind. E Com. deMateriais Dentários S.A.",800136871,1,0033156,2015/371262,28/11/2014,Londrina - PR
187,"105.050 CONEXAO Ti PARA CONTRA-ANGULO 5.0","JJGC Ind. E Com. deMateriais Dentários S.A.",800145488,1,0105816,2015/417947,05/02/15,"Belo Horizonte -MG"
188,"105.063 - CONEXAO PHILIPS PARA CHAVEDE MAO","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800059805,1,0039079,11143/2014,26/9/2014,SÃO PAULO - SP
189,"105.063 CONEXÃO PHILIPS PARA CHAVEDE MÃO","JJGC Ind. E Com. deMateriais Dentários S.A.",800151591,1,0051842,2015/417947,17/03/15,São Paulo - SP
190,105.065 - CONEXAO TORQUE 0.9,"JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800062382,1,0039079,11143/2014,26/9/2014,SÃO PAULO - SP
191,105.065 CONEXAO TORQUE 0.9,"JJGC Ind. E Com. deMateriais Dentários S.A.",800097276,1,1085437,2015/417947,10/02/15,"Rio de Janeiro -RJ"
192,"105.068 - CONEXAO PARA CONTRA-ÂNGULOII PLUS","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800059675,1,0039079,11143/2014,26/9/2014,SÃO PAULO - SP
193,"105.068 CONEXAO PARA CONTRA-ANGULO IIPLUS","JJGC Ind. E Com. deMateriais Dentários S.A.",80097287,1,0033156,2015/371262,28/11/2014,Londrina - PR
194,"105.068 CONEXAO PARA CONTRA-ANGULOII PLUS","JJGC Ind. E Com. deMateriais Dentários S.A.",800151594,1,0105816,2015/417947,05/02/15,"Belo Horizonte -MG"
195,105.071 -   CONEXAO TORQUE 1.2 LONGA,"JJGC Ind. E Com. deMateriais Dentários S.A.",800124792,1,1005328,1337/2014,30/11/2014,"Rio de Janeiro -RJ"
196,105.071 - CONEXAO TORQUE 1.2 LONGA,"JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800058629,1,0039079,11143/2014,26/9/2014,SÃO PAULO - SP
197,105.071 CONEXAO TORQUE 1.2 LONGA,"JJGC Ind. E Com. deMateriais Dentários S.A.",800131297,1,1085437,2015/417947,10/02/15,"Rio de Janeiro -RJ"
198,"105.073 - CONEXAO CM CURTA PARACATRACA","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800059661,1,0039079,11143/2014,26/9/2014,SÃO PAULO - SP
199,"105.073 - CONEXAO CM CURTA PARACATRACA","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800062353,1,0039079,11143/2014,26/9/2014,SÃO PAULO - SP
200,"105.073 CONEXAO CM CURTA PARACATRACA","JJGC Ind. E Com. deMateriais Dentários S.A.",800125102,1,0033156,2015/371262,28/11/2014,Londrina - PR
"",,,Quantidade,,Data do,
"",,No de Série/,No Nota,No Boletim de,,Local do roubo
Produto*,Empresa*,,Roubada/,,roubo ou,
"",,Lote*,Fiscal*,Ocorrência*,,ou extravio*
"",,,Extraviada*,,extravio*,
Belo Horizonte - 201 105.073 CONEXAO CM CURTA PARA,JJGC Ind. E Com. de,800107171,1 0105816,2015/417947,05/02/15,
CATRACA,Materiais Dentários S.A.,,,,,MG
"",JJGC IND. E COM. DE,,,,,
105.074 - CONEXAO CM LONGA PARA,,,,,,
202,MATERIAIS DENTÁRIOS,800047357,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
CATRACA,,,,,,
"",S.A.,,,,,
"",JJGC IND. E COM. DE,,,,,
105.074 - CONEXAO CM LONGA PARA,,,,,,
203,MATERIAIS DENTÁRIOS,800065764,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
CATRACA,,,,,,
"",S.A.,,,,,
105.074 CONEXAO CM LONGA PARA,JJGC Ind. E Com. de,,,,,
204,,800131326,1 0033156,2015/371262,28/11/2014,Londrina - PR
CATRACA,Materiais Dentários S.A.,,,,,
Belo Horizonte - 205 105.074 CONEXAO CM LONGA PARA,JJGC Ind. E Com. de,800127897,1 0105816,2015/417947,05/02/15,
CATRACA,Materiais Dentários S.A.,,,,,MG
"",JJGC IND. E COM. DE,,,,,
105.075 - CONEXAO CM PARA CONTRA-,,,,,,
206,MATERIAIS DENTÁRIOS,800064375,2 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
ÂNGULO,,,,,,
"",S.A.,,,,,
105.075 CONEXAO CM PARA CONTRA-,JJGC Ind. E Com. de,,,,,
207,,800125075,1 0033156,2015/371262,28/11/2014,Londrina - PR
ÂNGULO,Materiais Dentários S.A.,,,,,
Belo Horizonte - 208 105.075 CONEXAO CM PARA CONTRA-,JJGC Ind. E Com. de,800136960,1 0105816,2015/417947,05/02/15,
ÂNGULO,Materiais Dentários S.A.,,,,,MG
"",JJGC IND. E COM. DE,,,,,
105.087 - CONEXAO TI CURTA PARA,,,,,,
209,MATERIAIS DENTÁRIOS,800108681,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
CATRACA 3.5,,,,,,
"",S.A.,,,,,
105.087 CONEXAO Ti CURTA PARA CATRACA JJGC Ind. E Com. de,,,,,,
210,,800131311,1 0033156,2015/371262,28/11/2014,Londrina - PR
3.5,Materiais Dentários S.A.,,,,,
Belo Horizonte - 211 105.087 CONEXAO Ti CURTA PARA,JJGC Ind. E Com. de,800125084,1 0105816,2015/417947,05/02/15,
CATRACA 3.5,Materiais Dentários S.A.,,,,,MG
"",JJGC IND. E COM. DE,,,,,
105.088 - CONEXAO TI LONGA PARA,,,,,,
212,MATERIAIS DENTÁRIOS,800106677,1 0039079,11143/2014,26/9/2014,SÃO PAULO - SP
CATRACA 3.5,,,,,,
"",S.A.,,,,,
105.088 CONEXAO Ti LONGA PARA CATRACA JJGC Ind. E Com. de,,,,,,
213,,800127877,1 0033156,2015/371262,28/11/2014,Londrina - PR
3.5,Materiais Dentários S.A.,,,,,
Belo Horizonte - 214 105.088 CONEXAO Ti LONGA PARA,JJGC Ind. E Com. de,800127520,1 0105816,2015/417947,05/02/15,
CATRACA 3.5,Materiais Dentários S.A.,,,,,MG
Rio de Janeiro - 215 105.088 CONEXAO Ti LONGA PARA,JJGC Ind. E Com. de,,1 1100386,2015/417947,25/02/15,
CATRACA 3.5,Materiais Dentários S.A.,800145723,,,,RJ
"",Produto*,Empresa*,"No de Série/Lote*","QuantidadeRoubada/Extraviada*","No NotaFiscal*","No Boletim deOcorrência*","Data doroubo ouextravio*","Local do rouboou extravio*"
216,"105.089 - CONEXAO TI PARA CONTRA-ÂNGULO 3.5","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800406685,1,0039079,11143/2014,26/9/2014,SÃO PAULO - SP
217,"105.089 CONEXAO Ti PARA CONTRAANGULO 3.5","JJGC Ind. E Com. deMateriais Dentários S.A.",800136638,1,0033156,2015/371262,28/11/2014,Londrina - PR
218,"105.089 CONEXAO Ti PARA CONTRAANGULO 3.5","JJGC Ind. E Com. deMateriais Dentários S.A.",800136640,1,0105816,2015/417947,05/02/15,"Belo Horizonte -MG"
219,"105.089 CONEXAO Ti PARA CONTRAANGULO 3.5","JJGC Ind. E Com. deMateriais Dentários S.A.",800125105,1,1100386,2015/417947,25/02/15,"Rio de Janeiro -RJ"
220,"105.104 - CONEXAO FACILITY PARA CONTRA-ÂNGULO","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800094374,1,0039079,11143/2014,26/9/2014,SÃO PAULO - SP
221,106.168 CICATRIZADOR CM 3.3X1.5,"JJGC Ind. E Com. deMateriais Dentários S.A.",800130220,6,0033156,2015/371262,28/11/2014,Londrina - PR
222,106.169 CICATRIZADOR CM 3.3X2.5,"JJGC Ind. E Com. deMateriais Dentários S.A.",80048761,1,0033156,2015/371262,28/11/2014,Londrina - PR
223,106.169 CICATRIZADOR CM 3.3X2.5,"JJGC Ind. E Com. deMateriais Dentários S.A.",800052272,1,0033156,2015/371262,28/11/2014,Londrina - PR
224,106.169 CICATRIZADOR CM 3.3X2.5,"JJGC Ind. E Com. deMateriais Dentários S.A.",800113875,4,0033156,2015/371262,28/11/2014,Londrina - PR
225,106.170 CICATRIZADOR CM 3.3X3.5,"JJGC Ind. E Com. deMateriais Dentários S.A.",800062202,1,0033156,2015/371262,28/11/2014,Londrina - PR
226,106.170 CICATRIZADOR CM 3.3X3.5,"JJGC Ind. E Com. deMateriais Dentários S.A.",800130228,4,0033156,2015/371262,28/11/2014,Londrina - PR
227,106.170 CICATRIZADOR CM 3.3X3.5,"JJGC Ind. E Com. deMateriais Dentários S.A.",800135258,1,0033156,2015/371262,28/11/2014,Londrina - PR
228,106.182 CICATRIZADOR CM 3.3X0.8,"JJGC Ind. E Com. deMateriais Dentários S.A.",800123521,6,0033156,2015/371262,28/11/2014,Londrina - PR
229,106.183 CICATRIZADOR CM 3.3X4.5,"JJGC Ind. E Com. deMateriais Dentários S.A.",800121570,6,0033156,2015/371262,28/11/2014,Londrina - PR
230,106.190 CICATRIZADOR SF 4.1 ALT.2.0,"JJGC Ind. E Com. deMateriais Dentários S.A.",800135422,1,0104898,2015/371262,14/1/2015,"Belo Horizonte -MG"
231,107.003 - COLETOR OSSEO DESCARTAVEL,"JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",6940,1,0039079,11143/2014,26/9/2014,SÃO PAULO - SP
"",Produto*,Empresa*,"No de Série/Lote*","QuantidadeRoubada/Extraviada*","No NotaFiscal*","No Boletim deOcorrência*","Data doroubo ouextravio*","Local do rouboou extravio*"
232,108.003 TRANSFER 4.1 ANTIRROTACIONAL,"JJGC Ind. E Com. deMateriais Dentários S.A.",800145380,10,0104898,2015/371262,14/1/2015,"Belo Horizonte -MG"
233,108.003 TRANSFER 4.1 ANTIRROTACIONAL,"JJGC Ind. E Com. deMateriais Dentários S.A.",800149325,10,0104898,2015/371262,14/1/2015,"Belo Horizonte -MG"
234,"108.022 - TRANSFER DO MINI PILAR CONICOMOLDEIRA A","JJGC Ind. E Com. deMateriais Dentários S.A.",800143324,2,1005328,1337/2014,30/11/2014,"Rio de Janeiro -RJ"
235,"108.022 - TRANSFER DO MINI PILAR CONICOMOLDEIRA A","JJGC Ind. E Com. deMateriais Dentários S.A.",800151408,2,1005328,1337/2014,30/11/2014,"Rio de Janeiro -RJ"
236,"108.022 - TRANSFER DO MINI PILAR CONICOMOLDEIRA A","JJGC Ind. E Com. deMateriais Dentários S.A.",800152154,6,1005328,1337/2014,30/11/2014,"Rio de Janeiro -RJ"
237,"108.024 - TRANSFER DO MINI PILAR CONICOMOLDEIRA A","JJGC Ind. E Com. deMateriais Dentários S.A.",800130322,6,1005328,1337/2014,30/11/2014,"Rio de Janeiro -RJ"
238,"108.034 -  TRANSFER MOLDEIRA ABERTA 4.3EM TITANIO","JJGC Ind. E Com. deMateriais Dentários S.A.",800130324,10,1005328,1337/2014,30/11/2014,"Rio de Janeiro -RJ"
239,"108.067 -TRANSFER SF MOLDEIRA ABERTA4.1","JJGC Ind. E Com. deMateriais Dentários S.A.",800135530,10,1005328,1337/2014,30/11/2014,"Rio de Janeiro -RJ"
240,"109.174 MPLANTE TITAMAX Ti CORTICAL(3.3) 3.3X13","JJGC Ind. E Com. deMateriais Dentários S.A.",800152793,2,0013052,2015/371262,30/1/2015,Salvador - BA
241,"109.174 MPLANTE TITAMAX Ti CORTICAL(3.3) 3.3X13","JJGC Ind. E Com. deMateriais Dentários S.A.",800153696,2,0013052,2015/371262,30/1/2015,Salvador - BA
242,"109.174 MPLANTE TITAMAX Ti CORTICAL(3.3) 3.3X13","JJGC Ind. E Com. deMateriais Dentários S.A.",800153696,4,0013052,2015/371262,30/1/2015,Salvador - BA
243,"109.284 - IMPLANTE TITAMAX Ti CORTICAL(4.1)3.75X9","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800120312,3,0023310,"00058/2014.001554-0",4/12/2014,"PARAGOMINAS -PA"
244,"109.284 - IMPLANTE TITAMAX Ti CORTICAL(4.1)3.75X9","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800124329,2,0023310,"00058/2014.001554-0",4/12/2014,"PARAGOMINAS -PA"
245,"109.285 - IMPLANTE TITAMAX Ti CORTICAL(4.1)3.75X11","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800139599,5,0023310,"00058/2014.001554-0",4/12/2014,"PARAGOMINAS -PA"
246,"109.488 IMPLANTE P/ ANCORAGEMORTODONTICA AUTOPER 1.3X9 CINTAMÉDIA","JJGC Ind. E Com. deMateriais Dentários S.A.",800117363,20,0104898,2015/371262,14/1/2015,"Belo Horizonte -MG"
"",Produto*,Empresa*,"No de Série/Lote*","QuantidadeRoubada/Extraviada*","No NotaFiscal*","No Boletim deOcorrência*","Data doroubo ouextravio*","Local do rouboou extravio*"
247,"109.488 IMPLANTE P/ ANCORAGEMORTODONTICA AUTOPER 1.3X9 CINTAMÉDIA","JJGC Ind. E Com. deMateriais Dentários S.A.",800129343,30,0104898,2015/371262,14/1/2015,"Belo Horizonte -MG"
248,"109.497 MPLANTE P/ ANCORAGEMORTODONTICA AUTOPER 1.6X9 CINTAMÉDIA","JJGC Ind. E Com. deMateriais Dentários S.A.",800156765,10,0104898,2015/371262,14/1/2015,"Belo Horizonte -MG"
249,"109.582 - IMPLANTE TITAMAX Ti EX(4.1)3.75X9","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800150454,5,0023310,"00058/2014.001554-0",4/12/2014,"PARAGOMINAS -PA"
250,109.582 IMPLANTE TITAMAX Ti EX (4.1)3.75X9,"JJGC Ind. E Com. deMateriais Dentários S.A.",800128392,20,0032371,2015/371262,13/11/2014,Londrina - PR
251,"109.583 - IMPLANTE TITAMAX TI EX (4.1)3.75X11","JJGC Ind. E Com. deMateriais Dentários S.A.",800154396,2,0000739,"00067/2014.001101-3",19/11/2014,Belém - PA
252,"109.583 - IMPLANTE TITAMAX TI EX (4.1)3.75X11","JJGC Ind. E Com. deMateriais Dentários S.A.",800157236,8,0000739,"00067/2014.001101-3",19/11/2014,Belém - PA
253,"109.583 - IMPLANTE TITAMAX TI EX (4.1)3.75X11","JJGC Ind. E Com. deMateriais Dentários S.A.",800157236,10,0000739,"00067/2014.001101-3",19/11/2014,Belém - PA
254,"109.583 - MPLANTE TITAMAX Ti EX(4.1)3.75X11","JJGC IND. E COM. DEMATERIAIS DENTÁRIOSS.A.",800156964,5,0023310,"00058/2014.001554-0",4/12/2014,"PARAGOMINAS -PA"
255,"109.583 IMPLANTE TITAMAX Ti EX(4.1)3.75X11","JJGC Ind. E Com. deMateriais Dentários S.A.",800152743,17,0032371,2015/371262,13/11/2014,Londrina - PR
256,"109.583 IMPLANTE TITAMAX Ti EX(4.1)3.75X11","JJGC Ind. E Com. deMateriais Dentários S.A.",800152827,8,0032371,2015/371262,13/11/2014,Londrina - PR
257,"109.584 - IMPLANTE TITAMAX TI EX (4.1)3.75X13","JJGC Ind. E Com. deMateriais Dentários S.A.",800137293,10,0000739,"00067/2014.001101-3",19/11/2014,Belém - PA
258,"109.584 - IMPLANTE TITAMAX TI EX (4.1)3.75X13","JJGC Ind. E Com. deMateriais Dentários S.A.",800137293,10,0000739,"00067/2014.001101-3",19/11/2014,Belém - PA
259,"109.584 IMPLANTE TITAMAX Ti EX(4.1)3.75X13","JJGC Ind. E Com. deMateriais Dentários S.A.",800140472,14,0032371,2015/371262,13/11/2014,Londrina - PR
260,"109.584 IMPLANTE TITAMAX Ti EX(4.1)3.75X13","JJGC Ind. E Com. deMateriais Dentários S.A.",800147081,28,0032371,2015/371262,13/11/2014,Londrina - PR
261,"109.584 IMPLANTE TITAMAX Ti EX(4.1)3.75X13","JJGC Ind. E Com. deMateriais Dentários S.A.",800147185,13,0032371,2015/371262,13/11/2014,Londrina - PR
262,"109.585 IMPLANTE TITAMAX Ti EX(4.1)3.75X15","JJGC Ind. E Com. deMateriais Dentários S.A.",800146183,29,0032371,2015/371262,13/11/2014,Londrina - PR
