Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,"Data do roubo ouextravio*",Cidade,UF
1,"000059 – MIOCARDIL 30MG COM REV C/3X10",NÃO SE APLICA,49154,450.000 CP,130-00493/2019-01,420 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
2,"VALPROATO DE SÓDIO SUSPENSÃO(TEUTO)",DIMASTER,2145218,1 FR,187432,12955/2019,17/05/2019,DESCONHECIDO,
3,"003003 – CLORIDRATO DE TRAMADOL50MG CAP C/ 1X10 (A2)",NÃO SE APLICA,49794,300.000 CP,130-00493/2019-01,980 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
4,000018 – LORASLIV 10MG COM C/ 1X12,NÃO SE APLICA,49509,300.000 CP,130-00493/2019-01,600 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
5,000058 – VERTIZAN 10MG COM 2X25,NÃO SE APLICA,50039,280.000 CP,130-00493/2019-01,330 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
6,"000314 – DIMENIDRIN 25MG+5MG GTS FRPET 20ML",NÃO SE APLICA,49039,10.000 FRASCOS,130-00493/2019-01,600 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
7,000323 – FLUCONID 150MG CAP C/ 1X1,NÃO SE APLICA,47683,190.000 CÁPSULAS,130-00493/2019-01,600 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
8,"000331 – IVERMECTINA 6MG COM C/ 01X04GENERICO","000331 – IVERMECTINA 6MG COM C/ 01X04GENERICO",50215,345.332 CP,130-00493/2019-01,2.400 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
9,000468 – BUTACID 200MG COM REV C/ 2X10,NÃO SE APLICA,49245,300.000 CP,130-00493/2019-01,300 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
10,"000526 – ACECLOFENACO 100MG COM REVCT ENV AL X 12 GENERICO","000526 – ACECLOFENACO 100MG COM REVCT ENV AL X 12 GENERICO",49296,289992,130-00493/2019-01,1.200 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
11,000554 – VIT PANTENOL POMADA 30G,NÃO SE APLICA,49045,5.000 BISNAGAS,130-00493/2019-01,120 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
12,"000650 – ALGY-FLANDERIL 300MG COM C/2X10",NÃO SE APLICA,49183,480.000 CP,130-00493/2019-01,120 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
13,"000651 - ALGY- FLANDERIL  600 MG COMC/2X10",NÃO SE APLICA,49890,240.000 CP,130-00493/2019-01,600 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
14,"000733 – NIMESULIDA 100MG COM C/1X12GENERICO","000733 – NIMESULIDA 100MG COM C/1X12GENERICO",49385,450.000 CP,130-00493/2019-01,2400 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
15,000800 – PREDCORT 5MG COM C/ 1X20,NÃO SE APLICA,49129,330.000 CP,130-00493/2019-01,60 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
16,"040003 - VISALÁGRIMA SOLUÇÃOOFTAMOLÓGICA 5 ML",NÃO SE APLICA,M412B,14.280 FRASCOS,130-00493/2019-01,112 UNIDADES,06/06/2019,CASIMIRO DE ABREU,RJ
17,7100472 - XULTOPHY 100 U/ML 1X3 ML,Novo Nordisk Farmacêutica do Brasil Ltda.,JP50608,240 und,NF128437,"Boletim No.: 508/2019 Dependência:DEL.POL.S.SIMAO / Boletim Complementar",15/06/2019,SÃO SIMÃO,SP
18,"7101179 - OZEMPIC 0.25MG/0.5MG 1.5MLNF+6P",Novo Nordisk Farmacêutica do Brasil Ltda.,HP53935,200 und,NF128437,"Boletim No.: 508/2019 Dependência:DEL.POL.S.SIMAO / Boletim Complementar",15/06/2019,SÃO SIMÃO,SP
19,"7101179 - OZEMPIC 0.25MG/0.5MG 1.5MLNF+6P",Novo Nordisk Farmacêutica do Brasil Ltda.,HP53935,145 und,NF128438,"Boletim No.: 508/2019 Dependência:DEL.POL.S.SIMAO / Boletim Complementar",15/06/2019,SÃO SIMÃO,SP
20,7174268 - LEVEMIR SINGLE PACK,Novo Nordisk Farmacêutica do Brasil Ltda.,HS67L29,160 und,NF128437,"Boletim No.: 508/2019 Dependência:DEL.POL.S.SIMAO / Boletim Complementar",15/06/2019,SÃO SIMÃO,SP
21,7184158 - NOVORAPID SINGLE PACK,Novo Nordisk Farmacêutica do Brasil Ltda.,HS67P08,800 und,NF128437,"Boletim No.: 508/2019 Dependência:DEL.POL.S.SIMAO / Boletim Complementar",15/06/2019,SÃO SIMÃO,SP
22,7188749 - VICTOZA 6 MG/ML 2X3 ML,Novo Nordisk Farmacêutica do Brasil Ltda.,JS68C95,2.000 und,NF128438,"Boletim No.: 508/2019 Dependência:DEL.POL.S.SIMAO / Boletim Complementar",15/06/2019,SÃO SIMÃO,SP
